insert into service_provider (name, display_name, cpf, email, phone_number, birth_date ,description) VALUES 
('Clara da Cruz', 'Aspect','68830223760','uncled@comcast.net','5522917775','1998-03-03','lorem ipsum dolor sit amet consectetur adipiscing elit dictumst sagittis facilisis aliquam a dapibus volutpat taciti morbi magnis hac mattis at fringilla enim risus gravida vulputate massa tempor mollis fames potenti mus interdum litora eleifend'),
('Maria Sophia Pires', 'Kraken','6613328707','luvirini@hotmail.com','5313911107','1998-03-03',''),
('Valentina Lopes', 'Bender','73004858126','josem@yahoo.ca','4543643047','1998-03-03','lorem ipsum dolor sit amet consectetur adipiscing elit dictumst sagittis facilisis aliquam a dapibus volutpat taciti morbi magnis hac mattis at fringilla enim risus gravida vulputate massa tempor mollis fames potenti mus interdum litora eleifend'),
('Dra. Valentina Moura', 'Lynch','27135103769','adamk@sbcglobal.net','5938682532','1998-03-03',''),
('Kamilly Nunes', 'Big Papa','10488731453','wikinerd@msn.com','8482944023','1998-03-03',''),
('Alexandre da Cruz', 'Mad Dog','46774545157','granboul@aol.com','3256780679','1998-03-03','lorem ipsum dolor sit amet consectetur adipiscing elit dictumst sagittis facilisis aliquam a dapibus volutpat taciti morbi magnis hac mattis at fringilla enim risus gravida vulputate massa tempor mollis fames potenti mus interdum litora eleifend'),
('Isis Teixeira', 'Bowser','45105761707','michiel@comcast.net','7617085692','1998-03-03',''),
('Stella Vieira', 'O Doyle','21302806840','jesse@sbcglobal.net','5486227952','1998-03-03',''),
('Rebeca Castro', 'Bruise','64211815385','mailarc@aol.com','5907877441','1998-03-03','lorem ipsum dolor sit amet consectetur adipiscing elit dictumst sagittis facilisis aliquam a dapibus volutpat taciti morbi magnis hac mattis at fringilla enim risus gravida vulputate massa tempor mollis fames potenti mus interdum litora eleifend'),
('Luiz Otávio Lopes', 'Psycho','1661353720','heroine@outlook.com','3738416765','1998-03-03',''),
('Gabriel Rodrigues', 'Cannon','41844573710','harryh@att.net','2415390441','1998-03-03',''),
('Maitê Pinto', 'Ranger','18250608860','gravyface@me.com','2208693034','1998-03-03',''),
('Vitor Gabriel Viana', 'Clink','2824861274','malattia@yahoo.com','7708995835','1998-03-03',''),
('Sra. Esther Oliveira', 'Ratchet','27564273224','akoblin@msn.com','4279908275','1998-03-03',''),
('Ana Martins', 'Cobra','37320086654','flakeg@msn.com','3174887673','1998-03-03',''),
('Nicole Dias', 'Reaper','11851251162','rkobes@gmail.com','4677444541','1998-03-03',''),
('Eduardo Teixeira', 'Colt','84066372180','skoch@optonline.net','6643007565','1998-03-03',''),
('Juan Lima', 'Rigs','84436160670','jfriedl@msn.com','2903335292','1998-03-03',''),
('Pietro Cardoso', 'Crank','2447848250','chrisj@mac.com','7964772315','1998-03-03',''),
('Eduardo Ramos', 'Ripley','35786804607','jguyer@live.com','6493298287','1998-03-03',''),
('Rodrigo Souza', 'Creep','25402864101','pappp@yahoo.ca','6924548783','1998-03-03',''),
('João Lucas Teixeira', 'Roadkill','46353203756','benanov@verizon.net','5175865936','1998-03-03',''),
('Natália Gonçalves', 'Daemon','33714785132','jigsaw@optonline.net','6292429508','1998-03-03',''),
